# time, signal
5.380000000000000060e-02,-1.360006999999999966e+00
5.399999999999999939e-02,-1.360006999999999966e+00
5.420000000000000512e-02,-1.520007000000000108e+00
5.440000000000000391e-02,-1.520007000000000108e+00
5.460000000000000270e-02,-1.440007000000000037e+00
5.480000000000000149e-02,-1.440007000000000037e+00
5.500000000000000028e-02,-1.680007000000000028e+00
5.520000000000000601e-02,-1.440007000000000037e+00
5.540000000000000480e-02,-1.680007000000000028e+00
5.560000000000000359e-02,-1.520007000000000108e+00
5.580000000000000238e-02,-1.440007000000000037e+00
5.600000000000000117e-02,-1.520007000000000108e+00
5.619999999999999996e-02,-1.360006999999999966e+00
5.640000000000000568e-02,-1.440007000000000037e+00
5.660000000000000447e-02,-1.200007000000000046e+00
5.680000000000000326e-02,-1.280006999999999895e+00
5.700000000000000205e-02,-1.120006999999999975e+00
5.720000000000000084e-02,-1.200007000000000046e+00
5.739999999999999963e-02,-1.040006999999999904e+00
5.760000000000000536e-02,-1.040006999999999904e+00
5.780000000000000415e-02,-8.800071000000000421e-01
5.800000000000000294e-02,-9.600071000000000021e-01
5.820000000000000173e-02,-8.000072000000000294e-01
5.840000000000000052e-02,-8.800071000000000421e-01
5.860000000000000625e-02,-6.400071999999999983e-01
5.880000000000000504e-02,-7.200071999999999584e-01
5.900000000000000383e-02,-5.600072000000000383e-01
5.920000000000000262e-02,-6.400071999999999983e-01
5.940000000000000141e-02,-3.200072999999999945e-01
5.960000000000000020e-02,-4.000072000000000072e-01
5.980000000000000593e-02,-1.600072999999999912e-01
6.000000000000000472e-02,-2.400073000000000067e-01
6.020000000000000351e-02,-8.000727000000000533e-02
6.040000000000000230e-02,-1.600072999999999912e-01
6.060000000000000109e-02,1.599926999999999877e-01
6.079999999999999988e-02,7.999272999999999800e-02
6.100000000000000561e-02,3.199927000000000188e-01
6.120000000000000440e-02,2.399927000000000032e-01
6.140000000000000319e-02,4.799926999999999944e-01
6.160000000000000198e-02,3.999926999999999788e-01
6.180000000000000077e-02,6.399926999999999699e-01
6.199999999999999956e-02,5.599927000000000099e-01
6.220000000000000528e-02,8.799926000000000137e-01
6.240000000000000407e-02,7.999926000000000537e-01
6.260000000000000286e-02,1.119993000000000016e+00
6.280000000000000859e-02,9.599925999999999737e-01
6.300000000000000044e-02,1.199993000000000087e+00
6.320000000000000617e-02,1.359993000000000007e+00
6.339999999999999802e-02,1.119993000000000016e+00
6.360000000000000375e-02,1.279992999999999936e+00
6.380000000000000948e-02,1.599992999999999999e+00
6.400000000000000133e-02,1.359993000000000007e+00
6.420000000000000706e-02,1.599992999999999999e+00
6.439999999999999891e-02,1.519992999999999927e+00
6.460000000000000464e-02,1.679993000000000070e+00
6.479999999999999649e-02,1.599992999999999999e+00
6.500000000000000222e-02,1.679993000000000070e+00
6.520000000000000795e-02,1.679993000000000070e+00
6.539999999999999980e-02,1.599992999999999999e+00
6.560000000000000553e-02,1.599992999999999999e+00
6.579999999999999738e-02,1.679993000000000070e+00
6.600000000000000311e-02,1.679993000000000070e+00
6.620000000000000884e-02,1.519992999999999927e+00
6.640000000000000069e-02,1.679993000000000070e+00
6.660000000000000642e-02,1.519992999999999927e+00
6.679999999999999827e-02,1.599992999999999999e+00
6.700000000000000400e-02,1.359993000000000007e+00
6.720000000000000973e-02,1.439993000000000078e+00
6.740000000000000158e-02,1.279992999999999936e+00
6.760000000000000731e-02,1.359993000000000007e+00
6.779999999999999916e-02,1.119993000000000016e+00
6.800000000000000488e-02,1.199993000000000087e+00
6.819999999999999674e-02,1.039992999999999945e+00
6.840000000000000246e-02,1.119993000000000016e+00
6.860000000000000819e-02,8.799926000000000137e-01
6.880000000000000004e-02,9.599925999999999737e-01
6.900000000000000577e-02,7.199925999999999826e-01
6.919999999999999762e-02,8.799926000000000137e-01
6.940000000000000335e-02,5.599927000000000099e-01
6.960000000000000908e-02,6.399926999999999699e-01
6.980000000000000093e-02,4.799926999999999944e-01
7.000000000000000666e-02,5.599927000000000099e-01
7.019999999999999851e-02,2.399927000000000032e-01
7.040000000000000424e-02,3.199927000000000188e-01
7.060000000000000997e-02,-7.271767000000000134e-06
7.080000000000000182e-02,7.999272999999999800e-02
7.100000000000000755e-02,-1.600072999999999912e-01
7.119999999999999940e-02,-8.000727000000000533e-02
7.140000000000000513e-02,-4.000072000000000072e-01
7.159999999999999698e-02,-3.200072999999999945e-01
7.180000000000000271e-02,-4.800072000000000227e-01
7.200000000000000844e-02,-4.000072000000000072e-01
7.220000000000000029e-02,-7.200071999999999584e-01
7.240000000000000602e-02,-6.400071999999999983e-01
7.259999999999999787e-02,-8.800071000000000421e-01
7.280000000000000360e-02,-8.000072000000000294e-01
7.300000000000000933e-02,-9.600071000000000021e-01
7.320000000000000118e-02,-8.800071000000000421e-01
7.340000000000000691e-02,-1.200007000000000046e+00
7.359999999999999876e-02,-1.040006999999999904e+00
7.380000000000000449e-02,-1.280006999999999895e+00
7.400000000000001021e-02,-1.200007000000000046e+00
7.420000000000000207e-02,-1.440007000000000037e+00
7.440000000000000779e-02,-1.200007000000000046e+00
7.459999999999999964e-02,-1.440007000000000037e+00
7.480000000000000537e-02,-1.360006999999999966e+00
7.499999999999999722e-02,-1.520007000000000108e+00
7.520000000000000295e-02,-1.440007000000000037e+00
7.540000000000000868e-02,-1.680007000000000028e+00
7.560000000000000053e-02,-1.680007000000000028e+00
7.580000000000000626e-02,-1.440007000000000037e+00
7.599999999999999811e-02,-1.440007000000000037e+00
7.620000000000000384e-02,-1.680007000000000028e+00
7.640000000000000957e-02,-1.440007000000000037e+00
7.660000000000000142e-02,-1.680007000000000028e+00
7.680000000000000715e-02,-1.520007000000000108e+00
7.699999999999999900e-02,-1.440007000000000037e+00
7.720000000000000473e-02,-1.520007000000000108e+00
7.740000000000001046e-02,-1.360006999999999966e+00
7.760000000000000231e-02,-1.440007000000000037e+00
7.780000000000000804e-02,-1.200007000000000046e+00
7.799999999999999989e-02,-1.280006999999999895e+00
7.820000000000000562e-02,-1.120006999999999975e+00
