# Data format: "%int(ChipTimeUS),%float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ),%float(RawAccelX),%float(RawAccelY),%float(RawAccelZ)"
832125380,-0.02458,1.00002,0.00419,-0.08008,1.00879,0.00098
832130221,-0.02346,1.00487,0.00222,-0.07910,1.01367,-0.00098
832135061,-0.01835,1.00969,0.00306,-0.07422,1.01855,0.00000
832139892,-0.02573,0.99418,0.00518,-0.08105,1.00293,0.00195
832144729,-0.01775,0.99598,0.00298,-0.07324,1.00488,0.00000
832149356,-0.02336,1.00784,0.00517,-0.07910,1.01660,0.00195
832154197,-0.02150,1.00386,0.00215,-0.07715,1.01270,-0.00098
832159030,-0.01939,1.00685,0.00994,-0.07520,1.01563,0.00684
832163874,-0.01962,0.99994,0.00404,-0.07520,1.00879,0.00098
832168720,-0.02350,1.00204,0.01103,-0.07910,1.01074,0.00781
832173558,-0.02254,1.00193,0.00316,-0.07813,1.01074,0.00000
832178394,-0.02440,1.00592,0.00715,-0.08008,1.01465,0.00391
832183241,-0.02361,0.99905,0.00612,-0.07910,1.00781,0.00293
832187878,-0.02666,0.99617,0.00718,-0.08203,1.00488,0.00391
832192708,-0.02263,0.99899,0.00217,-0.07813,1.00781,-0.00098
832197549,-0.02474,0.99416,0.00515,-0.08008,1.00293,0.00195
832202388,-0.02339,1.00685,0.00418,-0.07910,1.01563,0.00098
832207227,-0.02336,1.00783,0.00419,-0.07910,1.01660,0.00098
832212072,-0.02139,1.00778,0.00217,-0.07715,1.01660,-0.00098
832216909,-0.02245,1.00489,0.00513,-0.07813,1.01367,0.00195
832221740,-0.02058,1.00094,0.00505,-0.07617,1.00977,0.00195
832226568,-0.02148,1.00483,0.00118,-0.07715,1.01367,-0.00195
832231206,-0.02054,1.00193,0.00603,-0.07617,1.01074,0.00293
832236035,-0.02138,1.00779,0.00315,-0.07715,1.01660,0.00000
832240872,-0.02554,1.00102,0.00423,-0.08105,1.00977,0.00098
832245706,-0.02339,1.00685,0.00418,-0.07910,1.01563,0.00098
832250543,-0.02253,1.00197,0.00610,-0.07813,1.01074,0.00293
832255375,-0.01964,0.99897,0.00501,-0.07520,1.00781,0.00195
832260211,-0.01836,1.00876,0.00697,-0.07422,1.01758,0.00391
832265051,-0.02546,1.00395,0.00424,-0.08105,1.01270,0.00098
832269681,-0.02462,0.99902,0.00223,-0.08008,1.00781,-0.00098
832274520,-0.02560,0.99907,0.00520,-0.08105,1.00781,0.00195
832279365,-0.02384,0.99120,0.00413,-0.07910,1.00000,0.00098
832284203,-0.01975,0.99506,0.00500,-0.07520,1.00391,0.00195
832289036,-0.02533,1.00883,0.00327,-0.08105,1.01758,0.00000
832293869,-0.01848,1.00482,0.00500,-0.07422,1.01367,0.00195
832298708,-0.01843,1.00676,0.00305,-0.07422,1.01563,0.00000
832303541,-0.02259,1.00000,0.00511,-0.07813,1.00879,0.00195
832308160,-0.02336,1.00783,0.00419,-0.07910,1.01660,0.00098
832312999,-0.02747,1.00209,0.01017,-0.08301,1.01074,0.00684
832317845,-0.02257,1.00097,0.00413,-0.07813,1.00977,0.00098
832322692,-0.02648,1.00299,0.00427,-0.08203,1.01172,0.00098
832327529,-0.02470,0.99609,0.00222,-0.08008,1.00488,-0.00098
832332368,-0.01862,0.99992,0.00400,-0.07422,1.00879,0.00098
832337209,-0.01941,1.00681,0.00602,-0.07520,1.01563,0.00293
832342042,-0.02060,0.99998,0.00603,-0.07617,1.00879,0.00293
832346883,-0.02569,0.99610,0.00225,-0.08105,1.00488,-0.00098
832351515,-0.02063,0.99899,0.00504,-0.07617,1.00781,0.00195
832356349,-0.02352,1.00290,0.00025,-0.07910,1.01172,-0.00293
832361198,-0.01960,1.00090,0.00208,-0.07520,1.00977,-0.00098
832366038,-0.02562,0.99809,0.00520,-0.08105,1.00684,0.00195
832370876,-0.02239,1.00778,0.00122,-0.07813,1.01660,-0.00195
832375719,-0.02159,0.99999,0.00606,-0.07715,1.00879,0.00293
832380560,-0.01538,1.00871,0.00688,-0.07129,1.01758,0.00391
832385403,-0.02479,0.99222,0.00613,-0.08008,1.00098,0.00293
832390037,-0.02552,1.00198,0.00325,-0.08105,1.01074,0.00000
832394876,-0.02743,1.00402,0.00822,-0.08301,1.01270,0.00488
832399710,-0.02652,1.00199,0.00230,-0.08203,1.01074,-0.00098
832404549,-0.01973,0.99603,0.00402,-0.07520,1.00488,0.00098
832409386,-0.02064,0.99898,0.00406,-0.07617,1.00781,0.00098
832414218,-0.02150,1.00294,0.00705,-0.07715,1.01172,0.00391
832419057,-0.02554,1.00103,0.00521,-0.08105,1.00977,0.00195
832423902,-0.02426,1.01080,0.00619,-0.08008,1.01953,0.00293
832428538,-0.02359,0.99999,0.00318,-0.07910,1.00879,0.00000
832433365,-0.01862,0.99992,0.00400,-0.07422,1.00879,0.00098
832438208,-0.02138,1.00779,0.00315,-0.07715,1.01660,0.00000
832443046,-0.02452,1.00199,0.00518,-0.08008,1.01074,0.00195
832447889,-0.02261,0.99903,0.00609,-0.07813,1.00781,0.00293
832452722,-0.02649,1.00297,0.00231,-0.08203,1.01172,-0.00098
832457571,-0.02346,1.00395,0.00711,-0.07910,1.01270,0.00391
832462409,-0.02234,1.00879,0.00416,-0.07813,1.01758,0.00098
832467249,-0.01633,1.01065,0.00398,-0.07227,1.01953,0.00098
832471888,-0.02449,1.00298,0.00616,-0.08008,1.01172,0.00293
832476726,-0.02233,1.00974,0.00122,-0.07813,1.01855,-0.00195
832481574,-0.01848,1.00482,0.00500,-0.07422,1.01367,0.00195
832486413,-0.02341,1.00682,0.00125,-0.07910,1.01563,-0.00195
832491255,-0.02267,0.99799,0.00020,-0.07813,1.00684,-0.00293
832496096,-0.02229,1.01074,0.00319,-0.07813,1.01953,0.00000
832500936,-0.02455,1.00101,0.00518,-0.08008,1.00977,0.00195
832505780,-0.02452,1.00199,0.00518,-0.08008,1.01074,0.00195
832510413,-0.02354,1.00194,0.00221,-0.07910,1.01074,-0.00098
832515255,-0.02439,1.00685,0.00226,-0.08008,1.01563,-0.00098
832520099,-0.02258,1.00094,0.00217,-0.07813,1.00977,-0.00098
832524946,-0.01962,0.99994,0.00404,-0.07520,1.00879,0.00098
832529785,-0.02445,1.00490,0.00323,-0.08008,1.01367,0.00000
832534616,-0.02155,1.00192,0.00313,-0.07715,1.01074,0.00000
832539451,-0.02777,0.99228,0.00720,-0.08301,1.00098,0.00391
832544284,-0.02244,1.00491,0.00709,-0.07813,1.01367,0.00391
832549128,-0.01969,0.99703,0.00598,-0.07520,1.00586,0.00293
832553762,-0.02130,1.00980,0.00805,-0.07715,1.01855,0.00488
832558588,-0.02557,1.00004,0.00422,-0.08105,1.00879,0.00098
832563413,-0.02165,0.99804,0.00605,-0.07715,1.00684,0.00293
832568241,-0.02462,0.99811,0.00811,-0.08008,1.00684,0.00488
832573052,-0.02413,1.01568,0.00523,-0.08008,1.02441,0.00195
832577874,-0.02165,0.99804,0.00605,-0.07715,1.00684,0.00293
832582686,-0.02375,0.99415,0.00512,-0.07910,1.00293,0.00195
832587502,-0.02242,1.00587,0.00513,-0.07813,1.01465,0.00195
832592134,-0.01642,1.00770,0.00299,-0.07227,1.01660,0.00000
832596956,-0.02861,0.99813,0.00431,-0.08398,1.00684,0.00098
832601796,-0.02516,1.01470,0.00329,-0.08105,1.02344,0.00000
832606633,-0.01933,1.00973,0.00505,-0.07520,1.01855,0.00195
832611473,-0.02346,1.00486,0.00124,-0.07910,1.01367,-0.00195
832616313,-0.02144,1.00583,0.00314,-0.07715,1.01465,0.00000
832621152,-0.02138,1.00780,0.00412,-0.07715,1.01660,0.00098
832625996,-0.02025,1.01267,0.00411,-0.07617,1.02148,0.00098
832630636,-0.02168,0.99705,0.00507,-0.07715,1.00586,0.00195
832635476,-0.02452,1.00198,0.00420,-0.08008,1.01074,0.00098
832640307,-0.02437,1.00691,0.00813,-0.08008,1.01563,0.00488
832645135,-0.02245,1.00490,0.00611,-0.07813,1.01367,0.00293
832649977,-0.01738,1.00871,0.00400,-0.07324,1.01758,0.00098
832654824,-0.02361,0.99904,0.00514,-0.07910,1.00781,0.00195
832659657,-0.02260,0.99998,0.00315,-0.07813,1.00879,0.00000
832664483,-0.02157,1.00096,0.00508,-0.07715,1.00977,0.00195
832669327,-0.02433,1.00882,0.00422,-0.08008,1.01758,0.00098
832673964,-0.02076,0.99412,0.00699,-0.07617,1.00293,0.00391
832678799,-0.02185,0.99025,0.00994,-0.07715,0.99902,0.00684
832683631,-0.02555,1.00100,0.00325,-0.08105,1.00977,0.00000
832688471,-0.01764,0.99990,0.00299,-0.07324,1.00879,0.00000
832693303,-0.01832,1.00977,0.00991,-0.07422,1.01855,0.00684
832698139,-0.02663,0.99808,0.00229,-0.08203,1.00684,-0.00098
832702972,-0.02764,0.99714,0.00428,-0.08301,1.00586,0.00098
832707811,-0.02258,1.00002,0.00707,-0.07813,1.00879,0.00391
832712446,-0.02360,0.99998,0.00220,-0.07910,1.00879,-0.00098
832717280,-0.02046,1.00488,0.00702,-0.07617,1.01367,0.00391
832722118,-0.02342,1.00586,0.00320,-0.07910,1.01465,0.00000
832726952,-0.01931,1.01071,0.00505,-0.07520,1.01953,0.00195
832731793,-0.02244,1.00492,0.00806,-0.07813,1.01367,0.00488
832736636,-0.02546,1.00395,0.00424,-0.08105,1.01270,0.00098
832741484,-0.02044,1.00491,0.00996,-0.07617,1.01367,0.00684
832746330,-0.01861,0.99995,0.00694,-0.07422,1.00879,0.00391
832750957,-0.02266,0.99801,0.00216,-0.07813,1.00684,-0.00098
832755799,-0.02175,0.99413,0.00702,-0.07715,1.00293,0.00391
832760632,-0.02353,1.00197,0.00515,-0.07910,1.01074,0.00195
832765466,-0.02148,1.00482,0.00020,-0.07715,1.01367,-0.00293
832770300,-0.02137,1.00874,0.00119,-0.07715,1.01758,-0.00195
832775133,-0.02179,0.99406,0.00016,-0.07715,1.00293,-0.00293
832779964,-0.02041,1.00773,-0.00081,-0.07617,1.01660,-0.00391
832784811,-0.01943,1.00676,0.00210,-0.07520,1.01563,-0.00098
832789655,-0.02152,1.00291,0.00411,-0.07715,1.01172,0.00098
832794286,-0.02271,0.99515,0.00901,-0.07813,1.00391,0.00586
832799130,-0.02439,1.00594,0.00911,-0.08008,1.01465,0.00586
832803969,-0.01869,0.99702,0.00693,-0.07422,1.00586,0.00391
832808805,-0.02149,1.00388,0.00411,-0.07715,1.01270,0.00098
832813647,-0.02172,0.99512,0.00800,-0.07715,1.00391,0.00488
832818484,-0.02575,0.99323,0.00812,-0.08105,1.00195,0.00488
832823320,-0.02045,1.00490,0.00898,-0.07617,1.01367,0.00586
832828153,-0.01849,1.00479,0.00206,-0.07422,1.01367,-0.00098
832832778,-0.02370,0.99701,-0.00173,-0.07910,1.00586,-0.00488
832837621,-0.02229,1.01074,0.00319,-0.07813,1.01953,0.00000
832842457,-0.02483,0.99122,0.00416,-0.08008,1.00000,0.00098
832847290,-0.02273,0.99511,0.00509,-0.07813,1.00391,0.00195
832852134,-0.02346,1.00486,0.00124,-0.07910,1.01367,-0.00195
