# time,Voltage_channel_1,Voltage_channel_2,Voltage_channel_3
0.000000000000000000e+00,-2.959860000000000075e-08,-1.200029999999999934e-03,-1.599988000000000105e-04
8.000000000000000167e-08,9.999703999999999017e-04,3.999704000000000085e-04,5.600012999999999606e-04
1.600000000000000033e-07,-2.959860000000000075e-08,3.999704000000000085e-04,-3.599987999999999929e-04
2.400000000000000315e-07,9.999703999999999017e-04,-1.000030000000000059e-03,6.800012999999999501e-04
3.200000000000000067e-07,1.999703999999999989e-04,3.999704000000000085e-04,8.800013999999999666e-04
3.999999999999999819e-07,9.999703999999999017e-04,-1.200029999999999934e-03,-1.199988000000000004e-04
4.800000000000000630e-07,9.999703999999999017e-04,-8.000296000000000490e-04,7.200012999999999466e-04
5.600000000000000382e-07,-2.959860000000000075e-08,3.999704000000000085e-04,-3.999875999999999784e-05
6.400000000000000134e-07,9.999703999999999017e-04,-8.000296000000000490e-04,8.800013999999999666e-04
7.199999999999999886e-07,1.999703999999999989e-04,5.999704000000000452e-04,-3.999875999999999784e-05
7.999999999999999638e-07,1.999703999999999989e-04,-8.000296000000000490e-04,-3.199987999999999964e-04
8.800000000000000449e-07,1.199970000000000073e-03,5.999704000000000452e-04,1.000000999999999928e-03
9.600000000000001260e-07,9.999703999999999017e-04,3.999704000000000085e-04,8.400013999999999701e-04
1.039999999999999995e-06,3.999704000000000085e-04,-8.000296000000000490e-04,1.236912999999999945e-09
1.120000000000000076e-06,9.999703999999999017e-04,-8.000296000000000490e-04,7.200012999999999466e-04
1.199999999999999946e-06,1.999703999999999989e-04,3.999704000000000085e-04,-1.599988000000000105e-04
1.280000000000000027e-06,9.999703999999999017e-04,-8.000296000000000490e-04,8.400013999999999701e-04
1.360000000000000108e-06,-2.959860000000000075e-08,5.999704000000000452e-04,1.236912999999999945e-09
1.439999999999999977e-06,1.999703999999999989e-04,-6.000295999999999581e-04,-3.999875999999999784e-05
1.520000000000000058e-06,1.199970000000000073e-03,5.999704000000000452e-04,1.000000999999999928e-03
1.599999999999999928e-06,1.999703999999999989e-04,5.999704000000000452e-04,8.400013999999999701e-04
1.680000000000000009e-06,9.999703999999999017e-04,-6.000295999999999581e-04,-3.999875999999999784e-05
1.760000000000000090e-06,3.999704000000000085e-04,-4.000295999999999757e-04,1.236912999999999945e-09
1.839999999999999959e-06,1.599970000000000038e-03,1.399969999999999947e-03,1.240000999999999907e-03
1.920000000000000252e-06,1.199970000000000073e-03,5.999704000000000452e-04,5.600012999999999606e-04
1.999999999999999909e-06,3.999704000000000085e-04,3.799968999999999830e-03,2.000000999999999949e-03
2.079999999999999991e-06,3.999704000000000085e-04,2.799970000000000150e-03,8.000013999999999736e-04
2.160000000000000072e-06,1.399969999999999947e-03,4.799969999999999758e-03,1.720001000000000082e-03
2.240000000000000153e-06,1.199970000000000073e-03,3.999968999999999920e-03,1.720001000000000082e-03
2.320000000000000234e-06,3.999704000000000085e-04,5.599970000000000121e-03,6.800012999999999501e-04
2.399999999999999891e-06,3.999704000000000085e-04,5.399969999999999597e-03,8.000013999999999736e-04
2.479999999999999972e-06,1.199970000000000073e-03,3.799968999999999830e-03,1.720001000000000082e-03
2.560000000000000054e-06,1.199970000000000073e-03,4.999970000000000282e-03,1.520000999999999991e-03
2.640000000000000135e-06,3.999704000000000085e-04,3.599969000000000172e-03,3.600011999999999982e-04
2.720000000000000216e-06,1.199970000000000073e-03,3.399969999999999989e-03,6.800012999999999501e-04
2.799999999999999873e-06,3.999704000000000085e-04,4.799969999999999758e-03,1.720001000000000082e-03
2.879999999999999954e-06,1.199970000000000073e-03,3.799968999999999830e-03,5.600012999999999606e-04
2.960000000000000035e-06,3.999704000000000085e-04,4.999970000000000282e-03,1.480001000000000103e-03
3.040000000000000117e-06,9.999703999999999017e-04,4.799969999999999758e-03,1.320000999999999900e-03
3.120000000000000198e-06,1.999703999999999989e-04,3.399969999999999989e-03,2.000012000000000122e-04
3.199999999999999855e-06,-2.959860000000000075e-08,4.199969999999999919e-03,1.236912999999999945e-09
3.279999999999999936e-06,9.999703999999999017e-04,2.199969999999999877e-03,1.240000999999999907e-03
3.360000000000000017e-06,9.999703999999999017e-04,3.599969000000000172e-03,1.000000999999999928e-03
