# time,Voltage_channel_1,Voltage_channel_2
3.759999999999999999e-06,9.999977000000001039e-04,5.999817999999999818e-02
3.840000000000000504e-06,9.999977000000001039e-04,7.999818000000000207e-02
3.919999999999999738e-06,1.999974999999999973e-04,5.999817999999999818e-02
3.999999999999999819e-06,9.199977000000000025e-04,7.999818000000000207e-02
4.079999999999999900e-06,1.199975000000000043e-04,5.999817999999999818e-02
4.159999999999999981e-06,2.799974999999999903e-04,5.999817999999999818e-02
4.240000000000000062e-06,9.199977000000000025e-04,7.999818000000000207e-02
4.320000000000000143e-06,9.199977000000000025e-04,7.999818000000000207e-02
4.400000000000000224e-06,1.599975000000000008e-04,5.999817999999999818e-02
4.480000000000000305e-06,7.999977000000000130e-04,7.999818000000000207e-02
4.560000000000000387e-06,1.199975000000000043e-04,5.999817999999999818e-02
4.640000000000000468e-06,7.199975999999999859e-04,7.999818000000000207e-02
4.719999999999999702e-06,-8.000249000000000455e-05,5.999817999999999818e-02
4.799999999999999783e-06,7.599975999999999824e-04,5.999817999999999818e-02
4.879999999999999864e-06,-4.000249000000000128e-05,7.999818000000000207e-02
4.959999999999999945e-06,-2.000024999999999947e-04,7.999818000000000207e-02
5.040000000000000026e-06,6.399975999999999929e-04,5.999817999999999818e-02
5.120000000000000107e-06,5.599975999999999999e-04,7.999818000000000207e-02
5.200000000000000188e-06,-3.600025000000000078e-04,5.999817999999999818e-02
5.280000000000000269e-06,4.799975000000000270e-04,7.999818000000000207e-02
5.360000000000000350e-06,-2.800025000000000148e-04,5.999817999999999818e-02
5.440000000000000431e-06,5.599975999999999999e-04,7.999818000000000207e-02
5.520000000000000513e-06,-3.200025000000000113e-04,5.999817999999999818e-02
5.599999999999999747e-06,-3.600025000000000078e-04,7.999818000000000207e-02
5.679999999999999828e-06,3.599974999999999833e-04,5.999817999999999818e-02
5.759999999999999909e-06,3.599974999999999833e-04,7.999818000000000207e-02
5.839999999999999990e-06,-3.200025000000000113e-04,5.999817999999999818e-02
5.920000000000000071e-06,4.799975000000000270e-04,5.999817999999999818e-02
6.000000000000000152e-06,-3.200025000000000113e-04,7.999818000000000207e-02
6.080000000000000233e-06,-4.400025000000000008e-04,5.999817999999999818e-02
6.160000000000000314e-06,3.599974999999999833e-04,7.999818000000000207e-02
6.240000000000000395e-06,-3.600025000000000078e-04,7.999818000000000207e-02
6.320000000000000476e-06,3.599974999999999833e-04,5.999817999999999818e-02
6.399999999999999710e-06,3.599974999999999833e-04,7.999818000000000207e-02
6.479999999999999791e-06,-5.200025999999999737e-04,5.999817999999999818e-02
6.559999999999999873e-06,-4.800024999999999973e-04,7.999818000000000207e-02
6.639999999999999954e-06,4.399974999999999763e-04,5.999817999999999818e-02
6.720000000000000035e-06,3.599974999999999833e-04,5.999817999999999818e-02
6.800000000000000116e-06,-4.400025000000000008e-04,7.999818000000000207e-02
6.880000000000000197e-06,3.199974999999999868e-04,7.999818000000000207e-02
6.960000000000000278e-06,-4.800024999999999973e-04,5.999817999999999818e-02
7.040000000000000359e-06,-3.600025000000000078e-04,5.999817999999999818e-02
7.120000000000000440e-06,3.599974999999999833e-04,9.999818000000000595e-02
7.200000000000000521e-06,3.599974999999999833e-04,7.999818000000000207e-02
7.279999999999999755e-06,-3.600025000000000078e-04,5.999817999999999818e-02
7.359999999999999836e-06,1.999974999999999973e-04,5.999817999999999818e-02
7.439999999999999917e-06,-5.200025999999999737e-04,1.199981999999999993e-01
7.519999999999999999e-06,-2.488377999999999821e-09,5.999817999999999818e-02
7.600000000000000080e-06,-6.000025999999999667e-04,9.999818000000000595e-02
7.680000000000001008e-06,1.199975000000000043e-04,7.999818000000000207e-02
7.760000000000000242e-06,-8.000026999999999833e-04,5.999817999999999818e-02
7.839999999999999476e-06,3.999750999999999849e-05,5.999817999999999818e-02
7.920000000000000404e-06,-6.800025999999999597e-04,9.999818000000000595e-02
7.999999999999999638e-06,-2.488377999999999821e-09,7.999818000000000207e-02
8.080000000000000566e-06,-6.400025999999999632e-04,5.999817999999999818e-02
8.159999999999999800e-06,-6.800025999999999597e-04,5.999817999999999818e-02
8.240000000000000728e-06,1.199975000000000043e-04,1.199981999999999993e-01
8.319999999999999962e-06,-6.400025999999999632e-04,7.999818000000000207e-02
8.400000000000000890e-06,1.199975000000000043e-04,5.999817999999999818e-02
8.480000000000000124e-06,-6.800025999999999597e-04,5.999817999999999818e-02
8.559999999999999359e-06,2.799974999999999903e-04,7.999818000000000207e-02
8.640000000000000287e-06,3.199974999999999868e-04,7.999818000000000207e-02
8.719999999999999521e-06,-5.200025999999999737e-04,5.999817999999999818e-02
8.800000000000000449e-06,-3.600025000000000078e-04,7.999818000000000207e-02
8.879999999999999683e-06,2.799974999999999903e-04,5.999817999999999818e-02
8.960000000000000611e-06,3.599974999999999833e-04,5.999817999999999818e-02
9.039999999999999845e-06,-4.800024999999999973e-04,7.999818000000000207e-02
9.120000000000000773e-06,-3.600025000000000078e-04,7.999818000000000207e-02
9.200000000000000007e-06,4.799975000000000270e-04,5.999817999999999818e-02
9.280000000000000935e-06,-2.000024999999999947e-04,7.999818000000000207e-02
9.360000000000000169e-06,5.599975999999999999e-04,5.999817999999999818e-02
9.439999999999999403e-06,-2.000024999999999947e-04,7.999818000000000207e-02
9.520000000000000332e-06,4.799975000000000270e-04,5.999817999999999818e-02
9.599999999999999566e-06,-2.800025000000000148e-04,7.999818000000000207e-02
9.680000000000000494e-06,4.799975000000000270e-04,5.999817999999999818e-02
9.759999999999999728e-06,-2.000024999999999947e-04,7.999818000000000207e-02
9.840000000000000656e-06,6.399975999999999929e-04,5.999817999999999818e-02
9.919999999999999890e-06,-8.000249000000000455e-05,5.999817999999999818e-02
1.000000000000000082e-05,5.999975999999999964e-04,7.999818000000000207e-02
1.008000000000000005e-05,5.999975999999999964e-04,7.999818000000000207e-02
1.016000000000000098e-05,-8.000249000000000455e-05,5.999817999999999818e-02
1.024000000000000021e-05,5.999975999999999964e-04,5.999817999999999818e-02
1.031999999999999945e-05,-8.000249000000000455e-05,7.999818000000000207e-02
1.040000000000000038e-05,6.399975999999999929e-04,7.999818000000000207e-02
