# time,Voltage_channel_1,Voltage_channel_2,Voltage_channel_3
0.000000000000000000e+00,-2.800025000000000148e-04,-1.817942000000000093e-06,1.680000999999999977e-03
4.000000000000000084e-08,4.799975000000000270e-04,1.999818000000000082e-02,4.800013000000000218e-04
8.000000000000000167e-08,-3.200025000000000113e-04,1.999818000000000082e-02,1.520000999999999991e-03
1.200000000000000157e-07,5.999975999999999964e-04,-1.817942000000000093e-06,6.000012999999999571e-04
1.600000000000000033e-07,5.999975999999999964e-04,1.999818000000000082e-02,1.480001000000000103e-03
1.999999999999999909e-07,-2.800025000000000148e-04,-1.817942000000000093e-06,4.800013000000000218e-04
2.400000000000000315e-07,-3.600025000000000078e-04,1.999818000000000082e-02,-3.999875999999999784e-05
2.800000000000000191e-07,4.799975000000000270e-04,-1.817942000000000093e-06,1.240000999999999907e-03
3.200000000000000067e-07,3.599974999999999833e-04,1.999818000000000082e-02,1.000000999999999928e-03
3.599999999999999943e-07,-3.600025000000000078e-04,-2.000182000000000002e-02,1.236912999999999945e-09
3.999999999999999819e-07,3.599974999999999833e-04,1.999818000000000082e-02,4.000124000000000193e-05
4.400000000000000224e-07,-2.800025000000000148e-04,-2.000182000000000002e-02,1.040001000000000033e-03
4.800000000000000630e-07,3.599974999999999833e-04,1.999818000000000082e-02,9.600013999999999596e-04
5.199999999999999976e-07,-3.200025000000000113e-04,-2.000182000000000002e-02,4.000124000000000193e-05
5.600000000000000382e-07,-2.000024999999999947e-04,1.999818000000000082e-02,-3.999875999999999784e-05
5.999999999999999728e-07,4.399974999999999763e-04,-2.000182000000000002e-02,8.400013999999999701e-04
6.400000000000000134e-07,3.599974999999999833e-04,1.999818000000000082e-02,-4.399987999999999859e-04
6.800000000000000539e-07,-3.600025000000000078e-04,-2.000182000000000002e-02,9.600013999999999596e-04
7.199999999999999886e-07,3.199974999999999868e-04,1.999818000000000082e-02,6.800012999999999501e-04
7.600000000000000291e-07,-3.600025000000000078e-04,-2.000182000000000002e-02,-3.199987999999999964e-04
7.999999999999999638e-07,4.399974999999999763e-04,-1.817942000000000093e-06,8.000013999999999736e-04
8.400000000000000043e-07,-4.400025000000000008e-04,1.999818000000000082e-02,-2.799987999999999999e-04
8.800000000000000449e-07,-4.800024999999999973e-04,1.999818000000000082e-02,-2.399988000000000034e-04
9.199999999999999795e-07,3.599974999999999833e-04,-2.000182000000000002e-02,6.800012999999999501e-04
9.600000000000001260e-07,-2.800025000000000148e-04,1.999818000000000082e-02,5.600012999999999606e-04
9.999999999999999547e-07,4.799975000000000270e-04,-2.000182000000000002e-02,-3.199987999999999964e-04
1.039999999999999995e-06,4.399974999999999763e-04,1.999818000000000082e-02,8.400013999999999701e-04
1.080000000000000036e-06,-3.600025000000000078e-04,-1.817942000000000093e-06,-4.799987999999999824e-04
1.120000000000000076e-06,-4.400025000000000008e-04,1.999818000000000082e-02,-5.199987999999999789e-04
1.160000000000000117e-06,3.599974999999999833e-04,-2.000182000000000002e-02,5.600012999999999606e-04
1.199999999999999946e-06,-4.400025000000000008e-04,1.999818000000000082e-02,5.600012999999999606e-04
1.239999999999999986e-06,4.399974999999999763e-04,-2.000182000000000002e-02,-3.599987999999999929e-04
1.280000000000000027e-06,-3.600025000000000078e-04,1.999818000000000082e-02,4.000011999999999947e-04
1.320000000000000067e-06,4.399974999999999763e-04,-2.000182000000000002e-02,-3.599987999999999929e-04
1.360000000000000108e-06,4.799975000000000270e-04,1.999818000000000082e-02,-6.399989000000000025e-04
1.399999999999999937e-06,-3.600025000000000078e-04,-2.000182000000000002e-02,3.200012000000000017e-04
1.439999999999999977e-06,-4.400025000000000008e-04,1.999818000000000082e-02,6.000012999999999571e-04
1.480000000000000018e-06,3.199974999999999868e-04,-2.000182000000000002e-02,-5.199987999999999789e-04
1.520000000000000058e-06,-4.400025000000000008e-04,1.999818000000000082e-02,3.600011999999999982e-04
1.560000000000000099e-06,3.599974999999999833e-04,-2.000182000000000002e-02,-7.999988999999999885e-04
1.599999999999999928e-06,-4.400025000000000008e-04,1.999818000000000082e-02,4.800013000000000218e-04
1.639999999999999968e-06,3.599974999999999833e-04,-2.000182000000000002e-02,-7.999988999999999885e-04
1.680000000000000009e-06,-3.200025000000000113e-04,1.999818000000000082e-02,-6.399989000000000025e-04
1.720000000000000049e-06,6.399975999999999929e-04,-2.000182000000000002e-02,3.200012000000000017e-04
1.760000000000000090e-06,4.799975000000000270e-04,1.999818000000000082e-02,-5.199987999999999789e-04
1.800000000000000130e-06,-3.600025000000000078e-04,-2.000182000000000002e-02,3.600011999999999982e-04
1.839999999999999959e-06,2.799974999999999903e-04,1.999818000000000082e-02,5.200012999999999641e-04
1.880000000000000000e-06,-5.200025999999999737e-04,-2.000182000000000002e-02,-6.399989000000000025e-04
1.920000000000000252e-06,1.199975000000000043e-04,1.999818000000000082e-02,4.000011999999999947e-04
1.959999999999999869e-06,-8.000026999999999833e-04,-2.000182000000000002e-02,-7.999988999999999885e-04
1.999999999999999909e-06,-8.000026999999999833e-04,1.999818000000000082e-02,-7.199988999999999955e-04
2.039999999999999950e-06,7.999750999999999499e-05,-2.000182000000000002e-02,3.200012000000000017e-04
2.079999999999999991e-06,-8.800026999999999763e-04,1.999818000000000082e-02,3.200012000000000017e-04
2.120000000000000031e-06,-2.488377999999999821e-09,-2.000182000000000002e-02,-7.999988999999999885e-04
2.160000000000000072e-06,-2.488377999999999821e-09,1.999818000000000082e-02,3.600011999999999982e-04
2.200000000000000112e-06,-8.000026999999999833e-04,-2.000182000000000002e-02,-6.799988999999999990e-04
2.240000000000000153e-06,-2.488377999999999821e-09,1.999818000000000082e-02,5.200012999999999641e-04
2.280000000000000193e-06,-6.800025999999999597e-04,-2.000182000000000002e-02,-7.199988999999999955e-04
2.320000000000000234e-06,-6.800025999999999597e-04,1.999818000000000082e-02,-7.999988999999999885e-04
2.359999999999999851e-06,-4.000249000000000128e-05,-2.000182000000000002e-02,3.200012000000000017e-04
2.399999999999999891e-06,-6.800025999999999597e-04,1.999818000000000082e-02,-7.199988999999999955e-04
2.439999999999999932e-06,-2.488377999999999821e-09,-1.817942000000000093e-06,2.000012000000000122e-04
2.479999999999999972e-06,-6.800025999999999597e-04,1.999818000000000082e-02,3.200012000000000017e-04
2.520000000000000013e-06,1.999974999999999973e-04,-2.000182000000000002e-02,-6.399989000000000025e-04
2.560000000000000054e-06,2.799974999999999903e-04,1.999818000000000082e-02,-7.199988999999999955e-04
2.600000000000000094e-06,-6.400025999999999632e-04,-1.817942000000000093e-06,3.200012000000000017e-04
2.640000000000000135e-06,-2.488377999999999821e-09,-1.817942000000000093e-06,-7.199988999999999955e-04
2.680000000000000175e-06,-6.400025999999999632e-04,1.999818000000000082e-02,5.200012999999999641e-04
2.720000000000000216e-06,-6.400025999999999632e-04,1.999818000000000082e-02,2.000012000000000122e-04
2.760000000000000256e-06,-4.000249000000000128e-05,-1.817942000000000093e-06,-6.399989000000000025e-04
2.799999999999999873e-06,-6.800025999999999597e-04,1.999818000000000082e-02,-6.399989000000000025e-04
2.839999999999999914e-06,-2.488377999999999821e-09,-1.817942000000000093e-06,2.000012000000000122e-04
2.879999999999999954e-06,-8.000026999999999833e-04,-1.817942000000000093e-06,-7.199988999999999955e-04
2.919999999999999995e-06,1.199975000000000043e-04,1.999818000000000082e-02,3.600011999999999982e-04
2.960000000000000035e-06,-6.800025999999999597e-04,-1.817942000000000093e-06,2.000012000000000122e-04
3.000000000000000076e-06,1.999974999999999973e-04,1.999818000000000082e-02,-7.199988999999999955e-04
3.040000000000000117e-06,-5.200025999999999737e-04,1.999818000000000082e-02,-1.599988000000000105e-04
3.080000000000000157e-06,1.999974999999999973e-04,-1.817942000000000093e-06,-1.359998999999999974e-03
3.120000000000000198e-06,3.599974999999999833e-04,1.999818000000000082e-02,-5.199987999999999789e-04
3.160000000000000238e-06,-4.400025000000000008e-04,-2.000182000000000002e-02,-1.559997999999999940e-03
3.199999999999999855e-06,3.199974999999999868e-04,1.999818000000000082e-02,-1.559997999999999940e-03
3.239999999999999896e-06,-4.400025000000000008e-04,-2.000182000000000002e-02,-6.399989000000000025e-04
3.279999999999999936e-06,-5.200025999999999737e-04,1.999818000000000082e-02,-1.359998999999999974e-03
3.319999999999999977e-06,3.599974999999999833e-04,-2.000182000000000002e-02,-6.399989000000000025e-04
3.360000000000000017e-06,-4.800024999999999973e-04,1.999818000000000082e-02,-6.399989000000000025e-04
3.400000000000000058e-06,3.199974999999999868e-04,-2.000182000000000002e-02,-1.519998000000000052e-03
3.440000000000000098e-06,-3.200025000000000113e-04,1.999818000000000082e-02,-1.519998000000000052e-03
3.480000000000000139e-06,4.799975000000000270e-04,-2.000182000000000002e-02,-4.799987999999999824e-04
3.520000000000000180e-06,4.399974999999999763e-04,1.999818000000000082e-02,-1.479997999999999947e-03
3.560000000000000220e-06,-5.200025999999999737e-04,-2.000182000000000002e-02,-5.999989000000000060e-04
3.600000000000000261e-06,-2.800025000000000148e-04,-2.000182000000000002e-02,-1.479997999999999947e-03
3.639999999999999878e-06,4.799975000000000270e-04,1.999818000000000082e-02,-2.799987999999999999e-04
3.679999999999999918e-06,-2.800025000000000148e-04,1.999818000000000082e-02,-4.399987999999999859e-04
3.719999999999999959e-06,4.799975000000000270e-04,-2.000182000000000002e-02,-1.359998999999999974e-03
3.759999999999999999e-06,-4.800024999999999973e-04,1.999818000000000082e-02,-4.399987999999999859e-04
3.800000000000000040e-06,4.399974999999999763e-04,-2.000182000000000002e-02,-1.479997999999999947e-03
3.840000000000000504e-06,4.799975000000000270e-04,-2.000182000000000002e-02,-1.639997999999999933e-03
3.880000000000000121e-06,-2.000024999999999947e-04,1.999818000000000082e-02,-3.199987999999999964e-04
3.919999999999999738e-06,-3.600025000000000078e-04,1.999818000000000082e-02,-1.519998000000000052e-03
3.960000000000000202e-06,4.799975000000000270e-04,-2.000182000000000002e-02,-4.399987999999999859e-04
3.999999999999999819e-06,4.799975000000000270e-04,1.999818000000000082e-02,-1.519998000000000052e-03
4.040000000000000283e-06,-2.800025000000000148e-04,-2.000182000000000002e-02,-4.399987999999999859e-04
4.079999999999999900e-06,-2.000024999999999947e-04,1.999818000000000082e-02,-1.199998999999999988e-03
4.120000000000000364e-06,6.399975999999999929e-04,-2.000182000000000002e-02,-3.199987999999999964e-04
4.159999999999999981e-06,-8.000249000000000455e-05,-2.000182000000000002e-02,-2.399988000000000034e-04
4.200000000000000445e-06,7.999977000000000130e-04,1.999818000000000082e-02,-1.199998999999999988e-03
4.240000000000000062e-06,5.999975999999999964e-04,-2.000182000000000002e-02,4.000124000000000193e-05
4.279999999999999679e-06,-2.800025000000000148e-04,1.999818000000000082e-02,-1.119998999999999995e-03
4.320000000000000143e-06,-2.000024999999999947e-04,1.999818000000000082e-02,1.600011999999999886e-04
4.359999999999999760e-06,6.399975999999999929e-04,-2.000182000000000002e-02,-7.199988999999999955e-04
4.400000000000000224e-06,5.999975999999999964e-04,1.999818000000000082e-02,-8.399988999999999850e-04
4.439999999999999841e-06,-8.000249000000000455e-05,-2.000182000000000002e-02,4.000124000000000193e-05
4.480000000000000305e-06,6.399975999999999929e-04,1.999818000000000082e-02,-7.199988999999999955e-04
4.519999999999999923e-06,-1.600024999999999982e-04,-2.000182000000000002e-02,4.000124000000000193e-05
4.560000000000000387e-06,-1.600024999999999982e-04,1.999818000000000082e-02,-7.199988999999999955e-04
