# Frequency, Frequency_g, g, Frequency_V, RMS_V, Phase_V
1.000000000000000000e+01,1.666666999999999916e+02,2.106056000000000039e-01,1.428571000000000026e+02,6.905554999999999333e-02,-1.500000000000000000e+02
1.050000000000000000e+01,1.000000000000000000e+01,1.719521999999999995e-01,9.900990000000000180e+00,5.137208000000000052e-02,5.939999999999999858e+01
1.100000000000000000e+01,1.052632000000000012e+01,1.872930999999999901e-01,1.052632000000000012e+01,6.468271000000000437e-02,-9.473684000000000438e+00
1.150000000000000000e+01,1.098901000000000039e+01,2.355894000000000044e-01,1.098901000000000039e+01,6.088609999999999856e-02,4.549450999999999823e+01
1.200000000000000000e+01,1.146789000000000058e+01,1.992556000000000049e-01,1.152073999999999998e+01,4.641847999999999808e-02,4.045871999999999957e+01
1.250000000000000000e+01,1.201923000000000030e+01,2.233915999999999957e-01,1.201923000000000030e+01,5.016988000000000003e-02,4.586538000000000181e+01
1.300000000000000000e+01,1.250000000000000000e+01,1.942204999999999904e-01,1.240695000000000014e+01,4.609544000000000141e-02,4.229999999999999716e+01
1.350000000000000000e+01,1.302083000000000013e+01,2.101022999999999918e-01,1.302083000000000013e+01,5.265486999999999945e-02,5.531250000000000000e+01
1.400000000000000000e+01,1.347709000000000046e+01,1.882980999999999960e-01,1.344086000000000070e+01,5.026805000000000162e-02,5.239893000000000001e+01
1.450000000000000000e+01,1.400559999999999938e+01,1.924221999999999877e-01,1.396648000000000067e+01,5.345820999999999906e-02,5.546217999999999648e+01
1.500000000000000000e+01,1.445087000000000010e+01,2.047537000000000107e-01,1.453487999999999936e+01,5.734645000000000020e-02,8.011561000000000377e+01
1.550000000000000000e+01,1.497006000000000014e+01,1.998038000000000036e-01,1.497006000000000014e+01,5.656582000000000277e-02,9.161678000000000566e+01
1.600000000000000000e+01,1.543210000000000015e+01,1.580413999999999985e-01,1.552795000000000059e+01,4.894211999999999868e-02,9.000000000000000000e+01
1.650000000000000000e+01,1.602563999999999922e+01,2.032363000000000086e-01,1.602563999999999922e+01,7.613999000000000461e-02,6.576922999999999320e+01
1.700000000000000000e+01,1.644736999999999938e+01,1.998434000000000044e-01,1.655629000000000062e+01,8.225459999999999716e-02,8.171053000000000566e+01
1.750000000000000000e+01,1.712329000000000079e+01,2.189680999999999989e-01,1.689189000000000007e+01,9.845916999999999863e-02,8.260273999999999717e+01
1.800000000000000000e+01,1.748252000000000095e+01,2.011406000000000027e-01,1.748252000000000095e+01,9.115455000000000085e-02,8.811189000000000249e+01
1.850000000000000000e+01,1.785714000000000112e+01,2.154147999999999896e-01,1.792115000000000080e+01,9.944864999999999955e-02,8.357143000000000654e+01
1.900000000000000000e+01,1.851851999999999876e+01,2.020733000000000112e-01,1.851851999999999876e+01,9.586102999999999985e-02,9.733333000000000368e+01
