# Frequency, Frequency_g, g, Frequency_V, RMS_V, Phase_V
1.000000000000000000e+01,1.010101000000000049e+01,5.719671999999999951e-02,9.900990000000000180e+00,3.756999999999999923e-02,1.000000000000000000e+02
1.050000000000000000e+01,1.010101000000000049e+01,5.772938999999999848e-02,1.010101000000000049e+01,3.771619999999999834e-02,1.000000000000000000e+02
1.100000000000000000e+01,1.000000000000000000e+01,7.192015999999999687e-02,1.010101000000000049e+01,4.224838999999999678e-02,8.820000000000000284e+01
1.150000000000000000e+01,1.086956999999999951e+01,5.933465999999999740e-02,1.098901000000000039e+01,3.260168000000000094e-02,4.500000000000000000e+01
1.200000000000000000e+01,1.157407000000000075e+01,6.677993000000000123e-02,1.136364000000000019e+01,2.565542000000000170e-02,1.558333000000000084e+02
1.250000000000000000e+01,1.201923000000000030e+01,6.784055999999999420e-02,1.207728999999999964e+01,2.125658999999999882e-02,7.875000000000000000e+01
1.300000000000000000e+01,1.250000000000000000e+01,6.711045999999999678e-02,2.336448000000000036e+01,1.789726000000000164e-02,8.099999999999999645e+00
1.350000000000000000e+01,1.295336999999999961e+01,7.417867000000000210e-02,2.252252000000000010e+01,1.826538000000000120e-02,-2.331606000000000023e+01
1.400000000000000000e+01,1.351351000000000013e+01,6.575917000000000567e-02,2.336448000000000036e+01,1.626394000000000103e-02,-3.113513000000000019e+01
1.450000000000000000e+01,1.412429000000000023e+01,7.347586999999999868e-02,2.604166999999999987e+01,1.809948000000000112e-02,-3.864406999999999925e+01
1.500000000000000000e+01,1.436782000000000004e+01,6.401347999999999761e-02,2.762431000000000125e+01,1.526789999999999918e-02,-5.896551999999999794e+01
1.550000000000000000e+01,1.497006000000000014e+01,7.011515999999999582e-02,2.941176000000000101e+01,1.709476999999999872e-02,-4.526946000000000225e+01
1.600000000000000000e+01,1.562500000000000000e+01,6.529696000000000111e-02,1.945524999999999949e+01,1.752656000000000006e-02,8.550000000000000000e+01
1.650000000000000000e+01,1.602563999999999922e+01,5.057554999999999690e-02,3.378378000000000014e+01,1.763096000000000108e-02,-7.384614999999999441e+01
1.700000000000000000e+01,1.655629000000000062e+01,6.678715000000000346e-02,1.718213000000000079e+01,2.482265000000000166e-02,-5.364238000000000284e+01
1.750000000000000000e+01,1.700679999999999836e+01,7.571200999999999626e-02,1.724137999999999948e+01,3.032576999999999842e-02,1.163264999999999958e+02
1.800000000000000000e+01,1.736111000000000004e+01,6.742041999999999480e-02,1.760563000000000144e+01,2.785185999999999912e-02,1.162500000000000000e+02
1.850000000000000000e+01,1.785714000000000112e+01,7.224400999999999740e-02,1.792115000000000080e+01,3.044579999999999856e-02,1.092857000000000056e+02
1.900000000000000000e+01,1.824816999999999823e+01,6.632978000000000485e-02,1.872659000000000162e+01,2.923734999999999876e-02,9.591240999999999417e+01
1.950000000000000000e+01,1.893938999999999950e+01,7.090198000000000333e-02,1.953125000000000000e+01,3.337568999999999952e-02,1.077272999999999996e+02
2.000000000000000000e+01,1.923076999999999970e+01,6.930192000000000296e-02,1.937984000000000151e+01,3.382149000000000266e-02,1.010768999999999949e+02
2.050000000000000000e+01,1.984127000000000152e+01,6.615023000000000430e-02,1.984127000000000152e+01,3.225722000000000311e-02,1.071428999999999974e+02
2.100000000000000000e+01,2.066115999999999886e+01,6.309085000000000387e-02,2.074689000000000050e+01,3.157552000000000275e-02,1.026445999999999970e+02
2.150000000000000000e+01,2.118644000000000105e+01,6.480803000000000258e-02,2.118644000000000105e+01,3.099336999999999925e-02,1.083050999999999959e+02
2.200000000000000000e+01,2.136751999999999896e+01,6.668802000000000063e-02,2.164501999999999882e+01,3.536674000000000068e-02,9.384614999999999441e+01
2.250000000000000000e+01,2.212388999999999939e+01,6.989644000000000412e-02,2.232142999999999944e+01,3.944269000000000247e-02,1.035397999999999996e+02
2.300000000000000000e+01,2.252252000000000010e+01,6.431974999999999498e-02,2.232142999999999944e+01,3.685254999999999781e-02,1.021621999999999986e+02
2.350000000000000000e+01,2.283105000000000118e+01,6.798780999999999575e-02,2.272727000000000075e+01,3.752844999999999792e-02,1.035615999999999985e+02
2.400000000000000000e+01,2.358491000000000071e+01,6.944153999999999605e-02,2.358491000000000071e+01,3.813235999999999709e-02,1.001886999999999972e+02
2.450000000000000000e+01,2.427184000000000097e+01,7.002714000000000161e-02,2.380951999999999913e+01,3.897679999999999895e-02,1.031068000000000069e+02
2.500000000000000000e+01,2.450979999999999848e+01,7.059195999999999527e-02,2.450979999999999848e+01,4.047902999999999918e-02,1.041175999999999959e+02
2.550000000000000000e+01,2.500000000000000000e+01,7.040685000000000693e-02,2.538071000000000055e+01,4.199673999999999768e-02,1.025999999999999943e+02
2.600000000000000000e+01,2.551020000000000110e+01,7.026267999999999403e-02,2.551020000000000110e+01,4.316108999999999918e-02,1.083673000000000002e+02
2.650000000000000000e+01,2.604166999999999987e+01,6.576292999999999722e-02,2.604166999999999987e+01,4.384298999999999835e-02,1.031250000000000000e+02
2.700000000000000000e+01,2.659574999999999889e+01,6.533690000000000331e-02,2.659574999999999889e+01,4.442064999999999902e-02,1.091488999999999976e+02
2.750000000000000000e+01,2.688172000000000139e+01,6.536187000000000247e-02,2.717390999999999934e+01,4.492294000000000148e-02,9.870968000000000586e+01
2.800000000000000000e+01,2.747252999999999901e+01,6.499087000000000613e-02,2.777777999999999992e+01,4.556178999999999785e-02,1.008790999999999940e+02
2.850000000000000000e+01,2.777777999999999992e+01,6.342741999999999825e-02,2.808989000000000047e+01,4.644088999999999856e-02,1.020000000000000000e+02
2.900000000000000000e+01,2.873563000000000045e+01,6.156411999999999995e-02,2.840908999999999907e+01,4.733662999999999760e-02,1.013793000000000006e+02
2.950000000000000000e+01,2.941176000000000101e+01,6.760420000000000318e-02,2.906976999999999833e+01,5.479442000000000340e-02,1.080000000000000000e+02
3.000000000000000000e+01,2.976191000000000031e+01,6.577238000000000528e-02,2.976191000000000031e+01,5.653910000000000186e-02,1.007142999999999944e+02
3.050000000000000000e+01,3.012048000000000059e+01,6.370206999999999953e-02,2.976191000000000031e+01,5.805037999999999865e-02,9.759035000000000082e+01
3.100000000000000000e+01,3.048780000000000001e+01,6.290843999999999603e-02,3.048780000000000001e+01,5.911012000000000211e-02,1.031706999999999965e+02
3.150000000000000000e+01,3.086420000000000030e+01,6.165986999999999857e-02,3.164556999999999931e+01,5.985992999999999870e-02,1.044444000000000017e+02
3.200000000000000000e+01,3.125000000000000000e+01,6.602067000000000352e-02,3.164556999999999931e+01,6.561691000000000051e-02,1.012500000000000000e+02
3.250000000000000000e+01,3.205127999999999844e+01,6.517997000000000374e-02,3.164556999999999931e+01,6.669123000000000412e-02,1.130768999999999949e+02
3.300000000000000000e+01,3.246752999999999645e+01,6.434159000000000406e-02,3.289473999999999876e+01,6.788167000000000506e-02,1.005194999999999936e+02
3.350000000000000000e+01,3.322258999999999673e+01,6.822862000000000371e-02,3.289473999999999876e+01,7.493961999999999846e-02,1.178072999999999979e+02
3.400000000000000000e+01,3.311258000000000123e+01,6.764228999999999381e-02,3.355704999999999671e+01,7.761236000000000523e-02,1.153220000000000027e+02
3.450000000000000000e+01,3.395586000000000126e+01,6.798761000000000387e-02,3.401359999999999673e+01,8.057677000000000589e-02,1.130729999999999933e+02
3.500000000000000000e+01,3.484320000000000306e+01,6.846476999999999424e-02,3.448275999999999897e+01,8.301598000000000310e-02,1.197908999999999935e+02
3.550000000000000000e+01,3.521126999999999896e+01,6.739460999999999369e-02,3.496502999999999872e+01,8.620875000000000066e-02,1.261268000000000029e+02
3.600000000000000000e+01,3.546099000000000245e+01,6.552346000000000559e-02,3.546099000000000245e+01,9.052267999999999426e-02,1.168084999999999951e+02
3.650000000000000000e+01,3.597122999999999848e+01,6.528916999999999360e-02,3.597122999999999848e+01,9.465439000000000491e-02,1.143375999999999948e+02
3.700000000000000000e+01,3.649634999999999962e+01,6.603567000000000464e-02,3.642987000000000108e+01,9.882541000000000242e-02,1.186740000000000066e+02
