# Frequency, Frequency_g, g, Frequency_V, RMS_V, Phase_V
1.000000000000000000e+01,1.666666999999999916e+02,1.369003000000000025e-01,1.428571000000000026e+02,4.513529000000000152e-02,-1.500000000000000000e+02
1.050000000000000000e+01,1.666666999999999916e+02,6.390848999999999835e-02,1.886793000000000120e+01,3.681542000000000148e-02,6.300000000000000000e+02
1.100000000000000000e+01,1.052632000000000012e+01,1.335183000000000064e-01,1.041666999999999987e+01,5.107015000000000166e-02,9.663157999999999959e+01
1.150000000000000000e+01,1.098901000000000039e+01,1.345608000000000082e-01,4.000000000000000000e+01,4.377061000000000146e-02,2.967032999999999987e+01
1.200000000000000000e+01,1.152073999999999998e+01,1.311620000000000008e-01,1.146789000000000058e+01,3.705892999999999687e-02,3.566821000000000197e+01
1.250000000000000000e+01,1.201923000000000030e+01,1.310986000000000096e-01,1.196171999999999969e+01,3.310463000000000294e-02,3.894230999999999909e+01
1.300000000000000000e+01,1.250000000000000000e+01,1.296991999999999867e-01,1.250000000000000000e+01,3.186032999999999921e-02,5.579999999999999716e+01
1.350000000000000000e+01,1.305483000000000082e+01,1.266417999999999988e-01,1.295336999999999961e+01,3.209585000000000216e-02,4.041776000000000124e+01
1.400000000000000000e+01,1.344086000000000070e+01,1.293464000000000003e-01,1.347709000000000046e+01,3.329084999999999683e-02,1.093547999999999973e+02
1.450000000000000000e+01,1.404494000000000042e+01,1.300443000000000016e-01,1.396648000000000067e+01,3.467503999999999725e-02,1.243820000000000050e+02
1.500000000000000000e+01,1.445087000000000010e+01,1.338709999999999900e-01,1.445087000000000010e+01,3.587557999999999719e-02,1.217340999999999980e+02
1.550000000000000000e+01,1.497006000000000014e+01,1.357906999999999864e-01,1.497006000000000014e+01,3.682259000000000226e-02,1.088623000000000047e+02
1.600000000000000000e+01,1.562500000000000000e+01,1.151567000000000007e-01,1.543210000000000015e+01,3.294248999999999789e-02,1.129193000000000069e+02
1.650000000000000000e+01,1.592356999999999978e+01,1.288447000000000064e-01,1.592356999999999978e+01,4.658836000000000227e-02,1.066242000000000019e+02
1.700000000000000000e+01,1.655629000000000062e+01,1.495862000000000025e-01,1.633987000000000123e+01,5.947170000000000234e-02,8.940397000000000105e+01
1.750000000000000000e+01,1.700679999999999836e+01,1.291961000000000082e-01,1.700679999999999836e+01,5.487194000000000099e-02,1.114286000000000030e+02
1.800000000000000000e+01,1.748252000000000095e+01,1.305420999999999943e-01,1.748252000000000095e+01,5.646924999999999861e-02,1.271329000000000065e+02
1.850000000000000000e+01,1.798561000000000121e+01,1.324825000000000030e-01,1.811593999999999838e+01,5.737653999999999671e-02,1.074819999999999993e+02
1.900000000000000000e+01,1.851851999999999876e+01,1.341819999999999957e-01,1.908397000000000077e+01,6.075621999999999967e-02,1.106667000000000058e+02
1.950000000000000000e+01,1.893938999999999950e+01,1.393472000000000044e-01,1.908397000000000077e+01,6.727898999999999685e-02,1.077272999999999996e+02
2.000000000000000000e+01,1.937984000000000151e+01,1.416778999999999955e-01,1.968504000000000076e+01,7.089763999999999788e-02,1.074419000000000040e+02
2.050000000000000000e+01,2.000000000000000000e+01,1.373550000000000049e-01,2.016129000000000104e+01,7.068372000000000543e-02,1.166400000000000006e+02
2.100000000000000000e+01,2.066115999999999886e+01,1.341981999999999897e-01,2.049180000000000135e+01,6.805959000000000314e-02,1.204959000000000060e+02
2.150000000000000000e+01,2.100840000000000174e+01,1.413271000000000110e-01,2.100840000000000174e+01,7.171450999999999520e-02,9.529411000000000342e+01
2.200000000000000000e+01,2.136751999999999896e+01,1.296881000000000006e-01,2.155171999999999954e+01,7.042337999999999376e-02,1.092308000000000021e+02
2.250000000000000000e+01,2.212388999999999939e+01,1.317288000000000070e-01,2.212388999999999939e+01,7.643091999999999941e-02,1.099115000000000038e+02
2.300000000000000000e+01,2.252252000000000010e+01,1.366980999999999891e-01,2.252252000000000010e+01,7.878788999999999931e-02,1.054054000000000002e+02
2.350000000000000000e+01,2.293578000000000117e+01,1.400442000000000076e-01,2.293578000000000117e+01,7.832066999999999501e-02,1.073395000000000010e+02
2.400000000000000000e+01,2.358491000000000071e+01,1.402352000000000043e-01,2.336448000000000036e+01,7.727836999999999901e-02,1.069810999999999979e+02
2.450000000000000000e+01,2.403846000000000060e+01,1.411643999999999954e-01,2.380951999999999913e+01,7.937059999999999949e-02,1.021153999999999940e+02
2.500000000000000000e+01,2.450979999999999848e+01,1.401795000000000124e-01,2.450979999999999848e+01,8.217006999999999783e-02,1.005882000000000005e+02
2.550000000000000000e+01,2.500000000000000000e+01,1.409922000000000120e-01,2.500000000000000000e+01,8.494326000000000654e-02,1.097999999999999972e+02
2.600000000000000000e+01,2.551020000000000110e+01,1.348009000000000013e-01,2.551020000000000110e+01,8.245181000000000038e-02,1.120408000000000044e+02
2.650000000000000000e+01,2.604166999999999987e+01,1.350997999999999921e-01,2.577319999999999922e+01,8.419764999999999888e-02,1.068750000000000000e+02
2.700000000000000000e+01,2.659574999999999889e+01,1.344432999999999878e-01,2.659574999999999889e+01,8.574826000000000670e-02,1.091488999999999976e+02
2.750000000000000000e+01,2.717390999999999934e+01,1.338052999999999881e-01,2.717390999999999934e+01,8.695880000000000276e-02,1.076086999999999989e+02
2.800000000000000000e+01,2.747252999999999901e+01,1.329992000000000119e-01,2.747252999999999901e+01,8.868388000000000659e-02,1.048352000000000004e+02
2.850000000000000000e+01,2.808989000000000047e+01,1.363504000000000105e-01,2.808989000000000047e+01,9.483582999999999597e-02,1.031461000000000041e+02
2.900000000000000000e+01,2.840908999999999907e+01,1.331036999999999915e-01,2.840908999999999907e+01,9.726845000000000629e-02,1.043182000000000045e+02
2.950000000000000000e+01,2.941176000000000101e+01,1.352636000000000116e-01,2.906976999999999833e+01,1.045012000000000024e-01,1.080000000000000000e+02
3.000000000000000000e+01,2.941176000000000101e+01,1.314232999999999929e-01,2.941176000000000101e+01,1.077604999999999952e-01,9.952940999999999860e+01
3.050000000000000000e+01,3.012048000000000059e+01,1.338711999999999958e-01,2.976191000000000031e+01,1.153585000000000027e-01,1.106024000000000029e+02
3.100000000000000000e+01,3.048780000000000001e+01,1.315630999999999884e-01,3.048780000000000001e+01,1.177866000000000052e-01,1.075610000000000070e+02
3.150000000000000000e+01,3.086420000000000030e+01,1.363245999999999902e-01,3.164556999999999931e+01,1.261410000000000031e-01,1.088889000000000067e+02
